priority_rank,page_type,folder,material,grade,form,city,state,country,url,canonical,h1,target_keyword,bucket,status,created_in_batch,notes
69,india_city,material-location,Stainless Steel,SS 316L,tubes,Hyderabad,Telangana,,/material-location/ss-316l-tubes-hyderabad.html,https://rubinoxmetal.com/material-location/ss-316l-tubes-hyderabad.html,SS 316L Tubes Supplier in Hyderabad,SS 316L tubes supplier in Hyderabad,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
70,india_city,material-location,Stainless Steel,SS 304,fasteners,Bengaluru,Karnataka,,/material-location/ss-304-fasteners-bengaluru.html,https://rubinoxmetal.com/material-location/ss-304-fasteners-bengaluru.html,SS 304 Fasteners Supplier in Bengaluru,SS 304 fasteners supplier in Bengaluru,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
71,india_city,material-location,Stainless Steel,SS 316L,fittings,Vadodara,Gujarat,,/material-location/ss-316l-fittings-vadodara.html,https://rubinoxmetal.com/material-location/ss-316l-fittings-vadodara.html,SS 316L Fittings Supplier in Vadodara,SS 316L fittings supplier in Vadodara,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
72,india_city,material-location,Stainless Steel,SS 316,flanges,Bengaluru,Karnataka,,/material-location/ss-316-flanges-bengaluru.html,https://rubinoxmetal.com/material-location/ss-316-flanges-bengaluru.html,SS 316 Flanges Supplier in Bengaluru,SS 316 flanges supplier in Bengaluru,Stainless Steel India,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
73,india_city,material-location,Nickel Alloys,Inconel 625,plates,Mumbai,Maharashtra,,/material-location/inconel-625-plates-mumbai.html,https://rubinoxmetal.com/material-location/inconel-625-plates-mumbai.html,Inconel 625 Plates Supplier in Mumbai,Inconel 625 plates supplier in Mumbai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
74,india_city,material-location,Nickel Alloys,Inconel 718,round bars,Pune,Maharashtra,,/material-location/inconel-718-round-bars-pune.html,https://rubinoxmetal.com/material-location/inconel-718-round-bars-pune.html,Inconel 718 Round Bars Supplier in Pune,Inconel 718 round bars supplier in Pune,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
75,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Chennai,Tamil Nadu,,/material-location/hastelloy-c276-fittings-chennai.html,https://rubinoxmetal.com/material-location/hastelloy-c276-fittings-chennai.html,Hastelloy C276 Fittings Supplier in Chennai,Hastelloy C276 fittings supplier in Chennai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
76,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Ahmedabad,Gujarat,,/material-location/duplex-2205-plates-ahmedabad.html,https://rubinoxmetal.com/material-location/duplex-2205-plates-ahmedabad.html,Duplex 2205 Plates Supplier in Ahmedabad,Duplex 2205 plates supplier in Ahmedabad,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
77,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Chennai,Tamil Nadu,,/material-location/super-duplex-2507-pipes-chennai.html,https://rubinoxmetal.com/material-location/super-duplex-2507-pipes-chennai.html,Super Duplex 2507 Pipes Supplier in Chennai,Super Duplex 2507 pipes supplier in Chennai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
78,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Mumbai,Maharashtra,,/material-location/super-duplex-2507-flanges-mumbai.html,https://rubinoxmetal.com/material-location/super-duplex-2507-flanges-mumbai.html,Super Duplex 2507 Flanges Supplier in Mumbai,Super Duplex 2507 flanges supplier in Mumbai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
79,export_country,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,,Saudi Arabia,/export-material/duplex-2205-pipes-saudi-arabia.html,https://rubinoxmetal.com/export-material/duplex-2205-pipes-saudi-arabia.html,Duplex 2205 Pipes Supplier for Saudi Arabia,Duplex 2205 pipes supplier for Saudi Arabia,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
80,export_country,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,,Qatar,/export-material/super-duplex-2507-flanges-qatar.html,https://rubinoxmetal.com/export-material/super-duplex-2507-flanges-qatar.html,Super Duplex 2507 Flanges Supplier for Qatar,Super Duplex 2507 flanges supplier for Qatar,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
81,export_country,export-material,Nickel Alloys,Hastelloy C276,plates,,,Singapore,/export-material/hastelloy-c276-plates-singapore.html,https://rubinoxmetal.com/export-material/hastelloy-c276-plates-singapore.html,Hastelloy C276 Plates Supplier for Singapore,Hastelloy C276 plates supplier for Singapore,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
82,export_country,export-material,Nickel Alloys,Inconel 625,plates,,,Oman,/export-material/inconel-625-plates-oman.html,https://rubinoxmetal.com/export-material/inconel-625-plates-oman.html,Inconel 625 Plates Supplier for Oman,Inconel 625 plates supplier for Oman,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
83,india_city,material-location,Nickel Alloys,Inconel 625,plates,Pune,Maharashtra,,/material-location/inconel-625-plates-pune.html,https://rubinoxmetal.com/material-location/inconel-625-plates-pune.html,Inconel 625 Plates Supplier in Pune,Inconel 625 plates supplier in Pune,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
84,india_city,material-location,Nickel Alloys,Inconel 718,round bars,Bengaluru,Karnataka,,/material-location/inconel-718-round-bars-bengaluru.html,https://rubinoxmetal.com/material-location/inconel-718-round-bars-bengaluru.html,Inconel 718 Round Bars Supplier in Bengaluru,Inconel 718 round bars supplier in Bengaluru,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
85,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Ankleshwar,Gujarat,,/material-location/hastelloy-c276-fittings-ankleshwar.html,https://rubinoxmetal.com/material-location/hastelloy-c276-fittings-ankleshwar.html,Hastelloy C276 Fittings Supplier in Ankleshwar,Hastelloy C276 fittings supplier in Ankleshwar,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
86,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Mumbai,Maharashtra,,/material-location/duplex-2205-plates-mumbai.html,https://rubinoxmetal.com/material-location/duplex-2205-plates-mumbai.html,Duplex 2205 Plates Supplier in Mumbai,Duplex 2205 plates supplier in Mumbai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
87,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Mumbai,Maharashtra,,/material-location/super-duplex-2507-pipes-mumbai.html,https://rubinoxmetal.com/material-location/super-duplex-2507-pipes-mumbai.html,Super Duplex 2507 Pipes Supplier in Mumbai,Super Duplex 2507 pipes supplier in Mumbai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
88,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Vadodara,Gujarat,,/material-location/super-duplex-2507-flanges-vadodara.html,https://rubinoxmetal.com/material-location/super-duplex-2507-flanges-vadodara.html,Super Duplex 2507 Flanges Supplier in Vadodara,Super Duplex 2507 flanges supplier in Vadodara,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
89,export_country,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,,UAE,/export-material/duplex-2205-pipes-uae.html,https://rubinoxmetal.com/export-material/duplex-2205-pipes-uae.html,Duplex 2205 Pipes Supplier for UAE,Duplex 2205 pipes supplier for UAE,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
90,export_country,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,,Saudi Arabia,/export-material/super-duplex-2507-flanges-saudi-arabia.html,https://rubinoxmetal.com/export-material/super-duplex-2507-flanges-saudi-arabia.html,Super Duplex 2507 Flanges Supplier for Saudi Arabia,Super Duplex 2507 flanges supplier for Saudi Arabia,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
91,export_country,export-material,Nickel Alloys,Hastelloy C276,plates,,,Germany,/export-material/hastelloy-c276-plates-germany.html,https://rubinoxmetal.com/export-material/hastelloy-c276-plates-germany.html,Hastelloy C276 Plates Supplier for Germany,Hastelloy C276 plates supplier for Germany,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
92,export_country,export-material,Nickel Alloys,Inconel 625,plates,,,Saudi Arabia,/export-material/inconel-625-plates-saudi-arabia.html,https://rubinoxmetal.com/export-material/inconel-625-plates-saudi-arabia.html,Inconel 625 Plates Supplier for Saudi Arabia,Inconel 625 plates supplier for Saudi Arabia,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
93,india_city,material-location,Nickel Alloys,Inconel 625,plates,Chennai,Tamil Nadu,,/material-location/inconel-625-plates-chennai.html,https://rubinoxmetal.com/material-location/inconel-625-plates-chennai.html,Inconel 625 Plates Supplier in Chennai,Inconel 625 plates supplier in Chennai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
94,india_city,material-location,Nickel Alloys,Inconel 718,round bars,Chennai,Tamil Nadu,,/material-location/inconel-718-round-bars-chennai.html,https://rubinoxmetal.com/material-location/inconel-718-round-bars-chennai.html,Inconel 718 Round Bars Supplier in Chennai,Inconel 718 round bars supplier in Chennai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
95,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Vadodara,Gujarat,,/material-location/hastelloy-c276-fittings-vadodara.html,https://rubinoxmetal.com/material-location/hastelloy-c276-fittings-vadodara.html,Hastelloy C276 Fittings Supplier in Vadodara,Hastelloy C276 fittings supplier in Vadodara,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
96,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Bharuch,Gujarat,,/material-location/duplex-2205-plates-bharuch.html,https://rubinoxmetal.com/material-location/duplex-2205-plates-bharuch.html,Duplex 2205 Plates Supplier in Bharuch,Duplex 2205 plates supplier in Bharuch,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
97,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Vadodara,Gujarat,,/material-location/super-duplex-2507-pipes-vadodara.html,https://rubinoxmetal.com/material-location/super-duplex-2507-pipes-vadodara.html,Super Duplex 2507 Pipes Supplier in Vadodara,Super Duplex 2507 pipes supplier in Vadodara,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
98,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Chennai,Tamil Nadu,,/material-location/super-duplex-2507-flanges-chennai.html,https://rubinoxmetal.com/material-location/super-duplex-2507-flanges-chennai.html,Super Duplex 2507 Flanges Supplier in Chennai,Super Duplex 2507 flanges supplier in Chennai,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
99,export_country,export-material,Duplex & Super Duplex,Duplex 2205,pipes,,,Qatar,/export-material/duplex-2205-pipes-qatar.html,https://rubinoxmetal.com/export-material/duplex-2205-pipes-qatar.html,Duplex 2205 Pipes Supplier for Qatar,Duplex 2205 pipes supplier for Qatar,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
100,export_country,export-material,Duplex & Super Duplex,Super Duplex 2507,flanges,,,Oman,/export-material/super-duplex-2507-flanges-oman.html,https://rubinoxmetal.com/export-material/super-duplex-2507-flanges-oman.html,Super Duplex 2507 Flanges Supplier for Oman,Super Duplex 2507 flanges supplier for Oman,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
101,export_country,export-material,Nickel Alloys,Hastelloy C276,plates,,,UAE,/export-material/hastelloy-c276-plates-uae.html,https://rubinoxmetal.com/export-material/hastelloy-c276-plates-uae.html,Hastelloy C276 Plates Supplier for UAE,Hastelloy C276 plates supplier for UAE,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
102,export_country,export-material,Nickel Alloys,Inconel 625,plates,,,Qatar,/export-material/inconel-625-plates-qatar.html,https://rubinoxmetal.com/export-material/inconel-625-plates-qatar.html,Inconel 625 Plates Supplier for Qatar,Inconel 625 plates supplier for Qatar,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
103,india_city,material-location,Nickel Alloys,Inconel 625,plates,Hyderabad,Telangana,,/material-location/inconel-625-plates-hyderabad.html,https://rubinoxmetal.com/material-location/inconel-625-plates-hyderabad.html,Inconel 625 Plates Supplier in Hyderabad,Inconel 625 plates supplier in Hyderabad,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
104,india_city,material-location,Nickel Alloys,Inconel 718,round bars,Hyderabad,Telangana,,/material-location/inconel-718-round-bars-hyderabad.html,https://rubinoxmetal.com/material-location/inconel-718-round-bars-hyderabad.html,Inconel 718 Round Bars Supplier in Hyderabad,Inconel 718 round bars supplier in Hyderabad,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
105,india_city,material-location,Nickel Alloys,Hastelloy C276,fittings,Hyderabad,Telangana,,/material-location/hastelloy-c276-fittings-hyderabad.html,https://rubinoxmetal.com/material-location/hastelloy-c276-fittings-hyderabad.html,Hastelloy C276 Fittings Supplier in Hyderabad,Hastelloy C276 fittings supplier in Hyderabad,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
106,india_city,material-location,Duplex & Super Duplex,Duplex 2205,plates,Jamnagar,Gujarat,,/material-location/duplex-2205-plates-jamnagar.html,https://rubinoxmetal.com/material-location/duplex-2205-plates-jamnagar.html,Duplex 2205 Plates Supplier in Jamnagar,Duplex 2205 plates supplier in Jamnagar,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
107,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,pipes,Kakinada,Andhra Pradesh,,/material-location/super-duplex-2507-pipes-kakinada.html,https://rubinoxmetal.com/material-location/super-duplex-2507-pipes-kakinada.html,Super Duplex 2507 Pipes Supplier in Kakinada,Super Duplex 2507 pipes supplier in Kakinada,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
108,india_city,material-location,Duplex & Super Duplex,Super Duplex 2507,flanges,Bharuch,Gujarat,,/material-location/super-duplex-2507-flanges-bharuch.html,https://rubinoxmetal.com/material-location/super-duplex-2507-flanges-bharuch.html,Super Duplex 2507 Flanges Supplier in Bharuch,Super Duplex 2507 flanges supplier in Bharuch,Nickel + Duplex/Super Duplex,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
109,india_city,material-location,High Speed Steel,HSS M35,round bars,Pune,Maharashtra,,/material-location/hss-m35-round-bars-pune.html,https://rubinoxmetal.com/material-location/hss-m35-round-bars-pune.html,HSS M35 Round Bars Supplier in Pune,HSS M35 round bars supplier in Pune,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
110,india_city,material-location,High Speed Steel,HSS M42,tool steel bars,Chennai,Tamil Nadu,,/material-location/hss-m42-tool-steel-bars-chennai.html,https://rubinoxmetal.com/material-location/hss-m42-tool-steel-bars-chennai.html,HSS M42 Tool Steel Bars Supplier in Chennai,HSS M42 tool steel bars supplier in Chennai,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
111,india_city,material-location,High Speed Steel,HSS M2,flats,Coimbatore,Tamil Nadu,,/material-location/hss-m2-flats-coimbatore.html,https://rubinoxmetal.com/material-location/hss-m2-flats-coimbatore.html,HSS M2 Flats Supplier in Coimbatore,HSS M2 flats supplier in Coimbatore,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
112,india_city,material-location,Aluminium,Aluminium 6061,plates,Chennai,Tamil Nadu,,/material-location/aluminium-6061-plates-chennai.html,https://rubinoxmetal.com/material-location/aluminium-6061-plates-chennai.html,Aluminium 6061 Plates Supplier in Chennai,Aluminium 6061 plates supplier in Chennai,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
113,india_city,material-location,High Speed Steel,HSS M35,round bars,Bengaluru,Karnataka,,/material-location/hss-m35-round-bars-bengaluru.html,https://rubinoxmetal.com/material-location/hss-m35-round-bars-bengaluru.html,HSS M35 Round Bars Supplier in Bengaluru,HSS M35 round bars supplier in Bengaluru,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
114,india_city,material-location,High Speed Steel,HSS M42,tool steel bars,Pune,Maharashtra,,/material-location/hss-m42-tool-steel-bars-pune.html,https://rubinoxmetal.com/material-location/hss-m42-tool-steel-bars-pune.html,HSS M42 Tool Steel Bars Supplier in Pune,HSS M42 tool steel bars supplier in Pune,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
115,india_city,material-location,Aluminium,Aluminium 6061,plates,Mumbai,Maharashtra,,/material-location/aluminium-6061-plates-mumbai.html,https://rubinoxmetal.com/material-location/aluminium-6061-plates-mumbai.html,Aluminium 6061 Plates Supplier in Mumbai,Aluminium 6061 plates supplier in Mumbai,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
116,india_city,material-location,High Speed Steel,HSS M35,round bars,Chennai,Tamil Nadu,,/material-location/hss-m35-round-bars-chennai.html,https://rubinoxmetal.com/material-location/hss-m35-round-bars-chennai.html,HSS M35 Round Bars Supplier in Chennai,HSS M35 round bars supplier in Chennai,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
117,india_city,material-location,High Speed Steel,HSS M42,tool steel bars,Faridabad,Haryana,,/material-location/hss-m42-tool-steel-bars-faridabad.html,https://rubinoxmetal.com/material-location/hss-m42-tool-steel-bars-faridabad.html,HSS M42 Tool Steel Bars Supplier in Faridabad,HSS M42 tool steel bars supplier in Faridabad,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
118,india_city,material-location,High Speed Steel,HSS M2,flats,Pune,Maharashtra,,/material-location/hss-m2-flats-pune.html,https://rubinoxmetal.com/material-location/hss-m2-flats-pune.html,HSS M2 Flats Supplier in Pune,HSS M2 flats supplier in Pune,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
119,india_city,material-location,Aluminium,Aluminium 6061,plates,Bengaluru,Karnataka,,/material-location/aluminium-6061-plates-bengaluru.html,https://rubinoxmetal.com/material-location/aluminium-6061-plates-bengaluru.html,Aluminium 6061 Plates Supplier in Bengaluru,Aluminium 6061 plates supplier in Bengaluru,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
120,india_city,material-location,High Speed Steel,HSS M35,round bars,Coimbatore,Tamil Nadu,,/material-location/hss-m35-round-bars-coimbatore.html,https://rubinoxmetal.com/material-location/hss-m35-round-bars-coimbatore.html,HSS M35 Round Bars Supplier in Coimbatore,HSS M35 round bars supplier in Coimbatore,Rest,created,D12B,"Generated from owner-approved D12B candidate CSV with final sitewide design shell, FAQ schema, RFQ checklist and safe role wording."
